,Dates,Products,Ratings,Reviews
0,17-Oct-2014,HP 15-g049AU Notebook,5,"Hi all, my review after 10 days of use. 1).First of all this laptop comes with everything pre-installed. Just click power start button and start using from the moment you open the box. Battery also received fully charged. WINDOWS 8.1 received installed. Great care for the buyers. Really an international brand Experience. 10/10 2).The processor is A8-6410 APU WITH AMD RADEON R5 integrated graphics. Good for even gamming. Laptop comes with preinstalled games application. DVD is provided. Use it to believe its power.  3).Total 100 keys are given. Keys are very soft & does not produce any sound while using.10/10 4).This laptop is having 500 GB hard disc. Only two partition, One main WINDOWS(C ) partition is 450 GB Capacity. I liked most. Most softwares are always installed on this drive. 5).pre-installed WINDOWS STORE application similar to GOOGLE PLY STORE. Plenty of free app are available. 6).Battery Charging is very fast takes about 15-20 minutes to charge Battery from 47% to 90% , 10/10. 7).Sleek, Light weight, Modern look, Good Battery life. I had used 4 hours on Battery. 10/10 8).Laptop does not heat up even after 4 hours use. The very effective air vent is given on left side. 9).Great Viewing Angle. Bright display. If you stop charging Battery the display brightness is automatically decreased for longer Battery use. 10).Shining, smooth & plain outer plastic body surface is very easy to clean. Looks new every time you wipe. 10/10 11).Laptop is totally silent while using. No noise at all. 10/10 12).Great experience with genuine windows 8.1, its secure to use. All Java updates are auto updated. 13).Great for WORD & EXCEL use. 10/10 14).Laptop comes with pre-installed WINDOWS 8.1 which will be up dated automatically as and when newer version of WINDOWS is released in future for free of cost. 15).Sound quality is good & clear. Loud enough. This laptop is designed for silent use in suitable for working at late night without disturbing sleeping people. 16). Touch pad is responsive with matt finish. This touch pad will not be easily wear away. 17).All types of ports are available including 3.5mm head phone jack too.  18). Good quality Back pack is provided in the box. 19).Comes with Pre-installed many software like HP CONNECT PHOTO, HP PAGE LIFT and many more useful soft wares. 20). Camera quality O.K. 21).All this review is typed from the same laptop. Enjoyed typing on soft keys. 22). would DEFINITELY recommend buying to all prospective buyers. If you liked my review please Click YES. Thanks for reading."
1,19-Oct-2014,HP 15-g049AU Notebook,5,"Hello all, I am using this laptop from last 2 year (that time it came with Windows 7). Its really a great laptop with amazing performance. I use it for extensive coding and designing work using advanced softwares and it performs really well.   Dont listen to people who say that AMD processors are bad. Really they are people who are not updated after 2004. AMD have done great job in their A8 and A10 Processors. You can purchase these laptops blindly as they are cheap, and have good performance. Moreover they are offered by HP.  Note : i didnt purchased it from Flipkart, and i regret when i saw it at cheap prices on flipkart then that time market rate :("
2,20-Oct-2014,HP 15-g049AU Notebook,5,"Just for a preface, i ordered this laptop when the price was 24990, later it got reduced to 23490, for which i had to cancel the previous order and re-book at new price... Price went further down to 22,500, thats when i brought it. Kudos to flipkart for making the shopping experience so comfortable and customer friendly. Its a cool laptop without almost everything required in a system for a professional Laptop User. Cannot be deemed fit for gaming as AMD has this issue of giving RAW power at the expense of battery and heat. But otherwise it a GREAT system for everyday computing. It remained cool for the entire time i used(around 6-7 hours) to dual boot it with Ubuntu 14.04 and update the software. No heat ups at all. The body is very very light and sleek... Fell in love with the design(having owned a Dell Inspiron 15R). As mentioned in previous posts, everything is pre-installed in Windows 8.1. Worth every paisa spent on it...  One sentence advice - Go For It(Its not available on any other store at time i am writing this.)"
3,04-Oct-2014,HP 15-g049AU Notebook,5,"I have owned many Laptops previously but this is the best value for money Laptop I have ever purchased in this price range so far.   To start with, it will definitely catch your eye with its really attractive & stylish looks. This Laptop is fully loaded with some very nice features that will serve all your purposes be it personal or business or entertainment related.   It has a 4 GB RAM which is expandable to 8 GB with 500 GB Hard Disk capacity in which you can store all the data that you can ever Imagine.   It also comes with a Window 8.1 Operating System which is wonderful.   I have been using this Laptop and I must say I am very impressed with its performance. The Battery life is damn good even when I watch movies or play games on it. And last but not the least It has a very good sound quality which makes my movie watching a delight.   Over all if you are looking for a laptop in this price range, this is the definitely one of the best you can get. Totally Recommend it!"
4,21-Nov-2014,HP 15-g049AU Notebook,3,"HI..ALL, i purchased it on last month 18th-Oct-14 & i received it on 21st-Oct-14. Till now now its working with medium performance even after i installed multiple operating systems have been installed such as windows server 2k8 & windows 7 (VMWARE).  But  It has 4Gb of RAM with 800MHz speed, there is no chance to expandable it due to motherboard supports only 4Gb. while checking the specifications in flipkart shown as RAM can be expandable upto 8Gb.  After i consulted with HP support team they said :""motherboard supports only 4Gb of RAM.Except this fake specification everything is fine. Any how i like it."
5,04-Oct-2014,HP 15-g049AU Notebook,5,"HP has launched a clear winner in this segment. I think this is the cheapest windows laptop from HP that too with A8 processor which has 2ghz speed. If you are looking for a laptop which you can use for browsing, watching movies, playing games or even multiprocessing, this is the best laptop. It's a great laptop even if you are looking to gift your parents because of its price and speed. I didn't expect AMD processor to be so good; It's definitely better than i3 laptops"
6,22-Oct-2014,HP 15-g049AU Notebook,5,"Beautiful slick design is the key for this laptop. AMD APU quad core A8 processor and 4 GB RAM is a unbelievable deal at this price range. Performance is as good as any Intel core i3 lappy. Preloaded windows 8.1 is joy to work with. RAM can be expandable upto 8 GB which is pretty cool. The laptop runs in a absolute noise free manner. About the cons, the build quality of the laptop is not that hardy. The display I found is a bit dull and PPI is less. So the text and images are not as crisp as they look in the the modern day hi resolution smart phones.  Overall, a absolute value for money laptop for daily use with moderate gaming performance."
7,09-Oct-2014,HP 15-g049AU Notebook,5,"I got it for just Rs.16.790/- thanks to flipkart's big billion sale. At that point, it beats by a huge margin each and every other competitor :P overall a decent laptop with NO DEDICATED GRAPHICS but 512mb INTEGRATED Card. The processor is pretty good. Sound is average. Display is awesome. Viewing Angles especially."
8,25-Oct-2014,HP 15-g049AU Notebook,5,"I was looking for a decent laptop and had shortlisted 2 of HP laptops one with AMD A8 processor and other with intel 4th gen core i3. Finally i purchased this and am very happy i did so. I got this for Rs 21250 (22500 - 1250 credit card discount). First of all thanks to flipkart for a good price for a good product i.e a great deal and quick delivery. 4/5 for Flipkart since everything was great except the packaging which didn't meet my expectations for a product that is delicate and expensive, but that was balanced out by nice and delicate handling by the flipkart logistics i guess.  The Windows Experience Index is 4.7 CPU - 6.9 RAM - 5.9 Graphics - 4.8 Gaming - 4.7 Hard-Disk - 5.9  Now let me bust some myths related to AMD vs Intel in laptops. This laptop is as cool and silent as any core i3 laptop out there and overall performance seems better than a core i3 though i haven't compared side by side. Its very smooth and fast for a budget laptop. I used it for 4-5 hrs continuously and with heavy multi tasking (CPU running above 2 ghz) while charging for about an hour, and the laptop was placed on thick cloth, and after all this the laptop was just marginally warm below the air vents. Seriously impressed.  First let me start with the complaints or cons 1) It does not have a VGA port. But one can always buy HDMI to VGA adapter from Flipkart itself. 2) The viewing angles of the display are poor. its disappointing and this could be a deal breaker for some. 3) The keyboard is a bit shaky and little noise in a small portion of the keyboard near the Enter, backspace and numpad keys, but thats pretty normal as per other laptop users.  Pros 1) Good performance (quad core cpu + 4gb ram ) 2) Windows 8.1 comes preinstalled.  3) and really nice audio quality through both the speakers and the headphones. But the placement of the speakers is a little odd. Speakers are placed on the front bezel slanting at 45 degree which means they will easily get blocked if the laptop is placed on a pillow on mattress. 4) It comes with a free HP branded backpack which is a of a good quality but can accommodate just 1 or 2 books alongside the laptop, its small. 5) It comes preinstalled with Mcafee Antivirus with 1 month subscription. 6) Battery recharges in 1.5-2 hrs and discharges in 3 to 4.5 hrs depending on what task you do, so good battery backup.  So far my user experience with this laptop has been awesome and very satisfying. The laptop is pretty fast and smooth in general usage but sometimes the Antivirus coupled with multiple tasks tends to be unresponsive for 5-10 secs every now and then, and I would blame the antivirus for this. I have not tried any games yet since there is a single partition and HP toll free guys said they don't support partitioning and I haven't created a recovery media as well, but looking at the performance I feel low to medium graphic intensive games should work without any problems like NFS underground or AOM, AOE, CS etc."
9,20-Oct-2014,HP 15-g049AU Notebook,4,"The review will be based on the Cons and Pros:  Pros: 1. Very Good processor at this price 2. The display is very good and has very low reflective screen. 3. Sound quality is good and should be kept on a flat surface to get better results. 4. No Heating issues after using 24hrs continuously. 5. Battery charges up pretty fast  6. Charger also doen't get heated up 7. Has DVD Drive which is added advantage. 8. Has separate Num Keypad  Cons: 1. NO VGA PORT!!, As per a sheet provided by HP (A sheet which has graphical representation of all the features available), It says this laptop has VGA port but actually it doesn't have 2. The keyboard keys feel as if they gonna break anytime 3. The up and down key are split into half (It doesn't have a separate Up and Down arrow keys like the left and Right arrow keys, They have cut down the size of it) 4. Battery lasts usually around 5~hrs 5. No Back lit keyboard! Really bad when operating at night 6. Comes with Windows 8.1!!! 7. Only one huge partition is available!! 8. No Recovery CD provided 9. The enter and right click button near the touch pad are Ok Ok 10. Viewing angles are Sort of Ok Ok 11. The key board has one major problem, Usually in laptop the function keys such as brightness control, Volume control are merged with Function keys such that one has to use Fn key + the combination of desired key. Here its different, Directly the user can control volume, brightness without using Fn key which actually is not GOOD"
