,Dates,Products,Ratings,Reviews
0,25-Jul-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,"PROs: 1. Got reasonable discount of 1600 Rs on common MRP of 9700. 2. Build quality is ok, not great. Top cover is sturdy. 3. Look is great, has a sleek build. 4. Very easy Wireless setup, from the printer as well as from software. 5. Direct print from SD card. 6. 2.6 inches LCD panel with every human intervention operation depicted as animated videos. 7. Input and output both from front side. So one does not have to reach for the papers in case the printer is kept at the middle or bottom rack of a computer table. 8. Cannot comment on the durability, but the colour reproduction in the printed photo is good. 9. Easy troubleshooting in case of paper jam.  CONs: 1. Not at all cost effective for photo printing. I exhausted my tri-colour cartridge after printing just over 20 nos 4x6 inches photos.This turns out to be a WHOPPING Rs. 25 per photo, excluding the paper cost!!!!!!!!!!!!!!!! Decided not to do any more photo printing unless on urgency. Printing at the commercial printers at the colour labs in the market are way way more efficient than this (just Rs. 6 per photo). 2. The photos come out as much darker than what is seen on the computer's LCD monitor. Even after reducing my monitor's brightness from 80 to 45, the printed photos seemed darker than they are seen on the screen. 3. Although the spec claims the print speed is 25 seconds for colour photos, this is highly inaccurate in real world. Each and every 4x6 photo i printed from my digicam took not less than 55 seconds. 4. B&W A4 printing also took 20 seconds, more than expected. 5. Warm up and motor driving the papers also take time. 6. Plastic build at the bottom and the tray does not impress. 7. My sturdy wooden computer table, which holds 2 desktop CPUs, keeps on shaking during printer operation. 8. Shutdown takes around 7-8 seconds, which I consider long for a printer of this much price.  It does what it is supposed to do, and not exceptional. Overall it turned out to be a okay buy for me."
1,15-Jul-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,"Pros:  Print qiality, ePrint, wireless print etc all work really well.   Cons The printing cost is quite high if you go for genuine ink. The scan to email is not so great."
2,30-Jan-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,"Very handy. near perfect printing. And awesome service by Flipkart. Overall i loved the experience of buying the product.   About the product. I liked the touch screen configuration and the software is really great.   I chose this project over HP 3545, for its touch screen and internal memory(128mb vs 32mb)."
3,05-Mar-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,"The product meets all expectations for a home printer.  The printer is user friendly, with good print quality and a great scanner. Have tested the wireless feature and it works great too. All installation drivers are also available online on the HP website- makes it easy to install for on laptops without a CD drive like mine!  Definitely recommended."
4,22-Mar-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,I Like The Printer Very Much.It Has All The Features.It Have Wireless Printing And E-Print Option.I Like This Very Much.I Think All Want To Have This Type Of Printer.Thanks Hp And Flipkart.I Am Very Happy With The Printer And The Delivery Of Flipkart.
5,08-Jul-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,"Wounder full printer. Bit costly but it pays. you can print from any where from any wi fi enable equipment. Low cost. Who need low cost printing and want to pring from number of equipment including Smart Phone, should buy."
6,15-Oct-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,"I bought this on Flipkart's Big Billion Day for just Rs 7.  The product is everything that has been described. It's user friendly, and easy to operate. Wireless printing using wireless direct feature is great and makes it simple to print via tablets and phones. Scanner and copier functions are just as good too.   Definitely recommend buying it. And for the amount that i got it for, its a steal!! ;)"
7,15-Jul-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,1,After my Last Printer HP K209A-J this printer is a HP scam. Gobles up Ink Refils and does not even print Excell Lines in Exell Sheets properly. Don't Buy HP Ink Disadvantage Scam. This printer will last but the refills will make you broke!!!!
8,21-Oct-2014,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,1,"I BOUGHT THIS PRODUCT 1 DAY AGO. EVERYTHING ARE STOP WORKING AFTER SOME TIME. HP BRAND IS NOT GOOD FOR PRINTER. TAKE ON YOUR RISK.AND SERVICE SUPPORT IS VERY BAD. DON,T BUY THIS. I FEEL VERY BAD TO BUY THIS NOW."
9,10-Mar-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,Works brilliantly. I was surprised that it is extremely fast and also works well on ipad and iphone also. surely a buy .
10,03-Mar-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,Worth of money and excellent product for those who are looking for home purpose. Delivered on time and easy to claim the offer from HP  .
11,02-Mar-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,The product is good but after using for few months is button has loosened.. and few more mechanism sound are coming while printing is on process though it is ignorable and not a big factor. Wireless is too good.
12,24-Feb-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,This Is The Best Printer I Have Ever Used. Very Good Connectivity. Scan Saved To Memory Card. Small Screen To View. Overall very Nice For Official And Home Use. Value For Money.
13,22-Feb-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,3,"Dificult to set up wifi connectivity and input & output try carries very less papers., scanner is very good.. Print the documents very slow. If you need wifi feature in printer then u can buy this otherwise HP 2520 would be better."
14,22-Feb-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,Been using it only for 2-3 hours but first impression is good. Good for home use. Prints and Scans from smart phone perfectly.
15,18-Feb-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,4,i Have used 2 weeks but will see long term usage ... about their post service and durability of product ...
16,02-Feb-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,"After All the News about people saying that flipkart didnt fulfill its promise on the Big Sale Day, I stand as an eyewitness to the Contrary.  I got this amazing Machine for Just 7 Rs.   Now the Review Good Product and above all its very sturdy. I have a kind of virtual off in my own home and a 2 1/2 year daughter as well who explores every thing. So i have to keep on shifting the printer post usage back into our storage in the Bed. Nevertheless the product had to face occasions of taking a hit here and there, but amazingly the plastic quality is good and its still intact in one piece  Its a good color printer and scanner.   I haven't tested yet how it functions on the WiFi but over all its a good product"
17,21-Jan-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,"I got the product just in a day its awesome. The Scanning and printing quality is amazing but the ink gets to be ended little past apart from that everything is great  ...."" the product worths for the amount u pay""....."
18,16-Jan-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,1,"Flipkart delivered it within time but the printer has a small crack on the edge !!  Picture quality is decent with the printer and copying is also fine. However, Scanner has a problem. Sometimes, it scans only a small portion of A4 page that too in zoomed in font sizes. I don't know what's wrong with it. I am facing this issue with 3/10 times atleast. Also, if you try to scan two documents consecutively and store it onto ur computer, it will fail once on the second document and will succeed on simply retrying !  I do not recommend this product."
19,09-Jan-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,1,"I have ordered HP Deskjet Ink Advantage 4515 All-in One wireless printer on 07th January & I was extremely thrilled to receive the printer the next day itself. Kudos to Flipkart for delivering the product in no time.   But to my huge disappointment when I had opened the carton, I found the ""power cord"" missing. So all my happiness of receiving the product in a day's time was completely destroyed. I wish the packaging team of Flipkart should have ensured that everything inside the box is there as specified in the outer side of the carton which they failed to do.   So going by my experience, I am not sure if I would recommend Flipkart to any of my friends in future. I have made a complaint to Flipkart & waiting for a new Power cord to be sent home at the earliest."
20,03-Jan-2015,HP Deskjet Ink Advantage 4515 All-in-One Wireless Printer,5,"Good print quality and compact design makes it a worth-it printer. As it is with other HP printers, it exceeds your expectation in the quality of printing. However, the touch-console is a bit unresponsive! And the internal processor is quite slow - sometimes annoys you when you are in a hurry."
