,Dates,Products,Ratings,Reviews
0,07-Nov-2014,HP 7 Voice Tab,5,"This is a Great device for Rs 10000. I got this from XSTechnologies, got delivery in 2 days, Thank you Flipkart.   I have been a samsung user for very long time, I got bored with Touchwiz. This tablet has a relatively clean Android 4.4 install. Their are only 2-3 HP apps.   The processor is relatvely fast for everyday use like video playback, internet, and light gaming. Heavy gamers and PPI addicts should stay away.  rear Camera quality is ok, though front camera could have been better, photography and  video calling is still better than my previous Galaxy Tab  To the people who are giving this Tablet 1 star rating, just because you get 4.7 GB out of 8 GB, This is the case with every mobile device in the world. If its your first smart device and you feel cheated, well grow up.  If you were to buy an 8gb Samsung Galaxy Grand, you will get 4 GB user available storage. Only the 8GB Iphone 4S offers a respectable 6.1 GB as user available storage but it doesnot have a micro sd card slot  I am using a 32 gb micro sd card with this tablet, which carries my TV Shows, and Music collection , my ebooks and photos. The 4.7 GB internal storage is enough for the 7-8 games and 10-12 other apps that I have installed. and I am still left with over 2.5 GB."
1,02-Nov-2014,HP 7 Voice Tab,4,"I have purchase this Tab from Croma on 16-Oct-2014, not from FlipKart.   I am here providing my genuine feedback after using this TAB for last 45 days, if anyone has any query may please contact me invincible.tambs(at)gmail.com.   This HP7 Voice Tab a quality product from the house of HP, Manufactured by HP-Singapore.  Processor : 1.3 GHz Quad Core ARMv7 Processor MT8382 QC A7 ( Good Performance) RAM : 1 GB ( 40% free usually) ROM : 8 GB ( User Available Memory for apps : 4.71 GB)  Primary Camera : 5MP with Flash, Camera is found to be OK Secondary Camera : 0.3M  Display: 6.95"" 600*1024 TN, 16.7M Transmissive LCD Touch: CTP, 5 point  It supports voice calling and 3G service with Single micro SIM slot  Direct Access Slot for Memory card., supports OTG  One Major Cons:  This tablet is based on stock Android 4.4 KitKat version, which removes the ability to write files to the MicroSD card by default and HP has forgotten to fix this issue, which makes the External SD card support read only and User gets no benefit of expansion of memory at all in terms of moving apps or change of storage location.  Further it also lacks built in Native File Manager which usually provided Write Access permission on External SD card.  Original Flip Cover Available at HP Store's and Online HP Shopping Website @ Rs. 1299/-  Quality of flip cover is good and no proper screen guard available in market as of now.   At this price level , this seems to be good quality product with Kitkat 4.4.2 but lack expandability of memory due to write permission issue.  PS: I have edited my review & downgraded my rating based on the major drawback observed w.r.t. lack of write permission and expandability of memory, which is a basic need."
2,11-Nov-2014,HP 7 Voice Tab,4,PROS: Display is good Primary camera is ok build is good and easy to hold in hands speakers are good headset is superb takes 3 hrs to charge from 0-100% doesnt lag processor is great scored 17350 on antutu 7000 on quadrant CONS Cant install apps on SD card only 4.7 available for apps Secondary camera is below average
3,16-Oct-2014,HP 7 Voice Tab,5,I got this product in a single day. it was really a good experience shopping with flipkart. Product is as usual good.
4,26-Oct-2014,HP 7 Voice Tab,5,i couldnt find screen gaurd and cases covers for this HP7 voice tab.. if u get some where please post the link below ... and product is aswm :D :D
5,04-Feb-2015,HP 7 Voice Tab,5,"I have purchased this product from ebay on discount at Rs.8,400/- 3 months earlier when i purchase the product except the screen quality, everything I liked and worked as expected and there were no issues while exploring the tablet but after a while i found sd card write support within the tablet is disable but you can write on the sd card after connecting it to the computer after a while i started to figure out rooting my tablet but there is no method available on the Internet to root this tablet but to my surprise today i have got an update from hp and it was approx 146 mb after installation of this upgrade now i can copy move and delete the files in sd card within the tablet so now everything is fixed so thank you HP for providing this beautiful product in such a affordable price. Though it's not a perfect tablet but on such a price it definitely deserve 5 stars. ?"
6,22-Jan-2015,HP 7 Voice Tab,1,Pros: Feature wise its good device.  Cons: 1- Device does not recognize and hangs when connect to laptop/computer. 2- Slow after adding 16 GB SD card  3- Not allowing to delete and copy files on SD Card.
7,23-Oct-2014,HP 7 Voice Tab,4,wha's the ppi of hp 7 voice tab.... maine poore google pe search kar liya par abhi tak nhi pata chali..
8,08-Feb-2015,HP 7 Voice Tab,1,"just after 3 months of use, bluetooth and wifi stopped working battery drains after 3 hrs of normal usage internal memory is only 4.17 gb (user available) and also u cannot transfer anything from internal storage to SD card it just works as a sd card reader u cant even delete anything on SD card . ITS BAD QUALITY PRODUCT MADE IN CHINA WITH CHEAP PLASTIC. DON'T BUY IT OR YOU WILL REGRET LATER !!"
9,14-Oct-2014,HP 7 Voice Tab,5,I received a product in a good condition and i love to keep shopping with Flipkart. Product is really nice.
10,05-Nov-2014,HP 7 Voice Tab,4,over all this tab is good.... but the only drawback in it is its front camera.... and screen guard is not available in the market yet.... but the flip cover is available only in HP Stores... and price of it is Rs.1299....
11,29-Oct-2014,HP 7 Voice Tab,5,"nyc product... with good performance, and durability... with trusted product by hp... just go for it, nothing to worry..."
12,05-Nov-2014,HP 7 Voice Tab,1,"Recently I buy a product HP 7 Voice Tab(White, 8 GB, Wi-Fi, 3G) from flipkart, Product specification has 8GB internal memory, But I got 4.71 GB, Why? After check, how it possible to delivery a client? Give a proper answer and change my tab as soon as possible."
13,27-Mar-2015,HP 7 Voice Tab,3,"Hi guys,, Phone is look nice and very big. However, the worst part is its front camera, you cant even able to see your face in a open ground,, may be its a manufacturing defect or phone comes like that. Only go for this phone for call and message and browsing,, camera part is worst."
14,27-Mar-2015,HP 7 Voice Tab,3,"I am using this tab since 4 months and got it replaced twice due to battery charging issue. When the battery drains completely, this tab is not getting charged again. Contacyed the service center, they checked the tab and confirmed problem in motherboard and replaced my Tab. this happened twice. Rest all others good."
